rank,zip_code,City,CountyName,investment_score,renter_pct,vacancy_rate,multifamily_share,median_contract_rent,median_household_income,rent_to_income_ratio,rent_burden_rate,price_latest,price_chg_1yr_pct,price_chg_3yr_pct,price_cut_rate,inv_chg_6m_pct,rent_control
38,95051,Santa Clara,Santa Clara County,62.82846715328467,0.537754970028893,0.0729225063607745,0.2420819935691318,2855.0,177365.0,0.1931609956868604,0.1387329591018444,1932904.8245317556,-1.048542090901472,22.346997041096262,0.1709401709401709,101.72413793103448,None / Costa-Hawkins only
39,94931,Cotati,Sonoma County,62.8102189781022,0.3978324081416864,0.0396510705789056,0.201627256547165,1644.0,98475.0,0.2003351104341203,0.1348837209302325,724951.2392647807,-2.265647066234433,0.48615583642201976,,-26.086956521739136,None / Costa-Hawkins only
40,94939,Larkspur,Marin County,62.6551094890511,0.5193418013856813,0.095554272517321,0.355467720685112,2780.0,156250.0,0.213504,0.244580322401334,2201589.0473871366,3.5225113068762637,4.275305437727961,0.1428571428571428,,None / Costa-Hawkins only
41,94904,Kentfield,Marin County,62.518248175182485,0.3714537444933921,0.0414096916299559,0.2888324873096446,2383.0,158338.0,0.1806009928128434,0.3439278937381404,2276411.122079989,1.3433682537374425,4.721959706737877,0.0975609756097561,36.66666666666667,None / Costa-Hawkins only
42,94107,San Francisco,San Francisco County,62.22627737226277,0.6416737607229389,0.2116429834326501,0.2637950602604983,3095.0,176788.0,0.2100821322714211,0.1505255638330442,1002906.7161619734,2.800436967478759,-1.610188950317637,0.1538461538461538,15.189873417721511,Strong (pre-1979)
43,94501,Alameda,Alameda County,61.95255474452554,0.5858755705020418,0.0799503563135559,0.3430213160333642,2151.0,116596.0,0.2213798071975025,0.2250239169058357,1151435.9181915915,-2.8316208597471526,-1.923772306633298,0.0975609756097561,-19.6078431372549,None / Costa-Hawkins only
44,94602,Oakland,Alameda County,61.91605839416058,0.3968910203406648,0.060608566231189,0.2518125828330864,1700.0,126412.0,0.1613770844540075,0.2445833333333333,999149.7758129272,-3.2178114972882477,-9.652056121307274,0.16,-24.242424242424242,Strong (pre-1983)
45,94061,Redwood City,San Mateo County,61.87956204379562,0.4734365513054037,0.0749848208864602,0.2564247387743575,2479.0,139810.0,0.2127744796509548,0.2739660147483168,1991109.6875650976,1.8861107282247103,12.264344591995302,0.119047619047619,-35.38461538461538,None / Costa-Hawkins only
46,94609,Oakland,Alameda County,61.843065693430646,0.6724251244014646,0.0833724532907708,0.4510789496490164,2050.0,107242.0,0.2293877398780328,0.2171181234292097,956499.9920993582,-6.644461790687295,-16.08836618175198,0.0909090909090909,-42.10526315789473,Strong (pre-1983)
47,95050,Santa Clara,Santa Clara County,61.24087591240876,0.6236516706129965,0.065969481715338,0.3989017091380268,2312.0,119356.0,0.2324474680786889,0.2667158827251634,1660321.978340268,-0.2864298133872345,20.144004121118208,0.1,6.382978723404253,None / Costa-Hawkins only
48,94941,Mill Valley,Marin County,61.222627737226276,0.3259606070390701,0.0996125282531482,0.1528409925121127,2702.0,206580.0,0.1569561428986349,0.1946508172362555,2139388.198394136,4.18044295494544,7.027437899050537,0.1052631578947368,-18.279569892473113,None / Costa-Hawkins only
49,94085,Sunnyvale,Santa Clara County,61.213503649635044,0.6067917783735478,0.0630026809651474,0.3974358974358974,2921.0,168250.0,0.2083328380386329,0.149300441826215,1583347.5168160584,-0.5897545292969153,15.211281068536309,0.2258064516129032,100.0,None / Costa-Hawkins only
50,94901,San Rafael,Marin County,61.2043795620438,0.4902249855778475,0.050381385808602,0.2966986025508025,2059.0,113294.0,0.2180874538810528,0.2557531380753138,1427459.7215813256,-0.5595347555269137,2.820208788619949,0.1296296296296296,6.930693069306937,None / Costa-Hawkins only
51,95054,Santa Clara,Santa Clara County,61.113138686131386,0.6194926568758344,0.0753226524254561,0.2170719089498189,3124.0,194316.0,0.1929228679058852,0.1449353448275862,1538748.8073952785,-4.199735669418603,13.82849268591353,0.1212121212121212,64.99999999999999,None / Costa-Hawkins only
52,94105,San Francisco,San Francisco County,61.058394160583944,0.6081932773109243,0.2246586134453781,0.0919909938887102,3352.0,250001.0,0.1608953564185743,0.072754749568221,1079017.706127545,1.6316354517021292,2.8084383125752233,0.1590909090909091,14.28571428571428,Strong (pre-1979)
53,94404,Foster City,San Mateo County,60.930656934306555,0.4770718808711989,0.0506575742815392,0.3016756076561361,3482.0,182699.0,0.2287040432624152,0.1801341890315052,1763096.8239800497,-0.8086328305115686,6.846811546161491,0.1846153846153846,-13.33333333333333,None / Costa-Hawkins only
54,95032,Los Gatos,Santa Clara County,60.45620437956205,0.3564708141321044,0.0465629800307219,0.1802586918631318,2840.0,185822.0,0.1834013195423577,0.1718287099380555,2648628.6095591527,1.274478920415545,19.879121446874628,0.1728395061728395,26.5625,None / Costa-Hawkins only
55,94304,,Santa Clara County,60.31934306569343,0.7759213759213759,0.1626535626535626,0.3351648351648351,3254.0,159637.0,0.2446049474745829,0.1811272957568081,3310285.742276455,2.7161564825119777,22.5356794240837,,,None / Costa-Hawkins only
56,94124,San Francisco,San Francisco County,59.607664233576635,0.4956560680698612,0.0695924764890282,0.2337129459052085,1150.0,76341.0,0.180767870475891,0.2645464401879291,917214.78967372,0.4138416458126182,-0.6591445583592814,0.2,-16.666666666666664,Strong (pre-1979)
57,94549,Lafayette,Contra Costa County,59.47080291970803,0.2484962035302238,0.0496992407060447,0.1254109910756223,2758.0,221148.0,0.1496554343697433,0.1428571428571428,1962151.9881459747,-0.40510150526170685,1.2508866045922051,0.125,-13.253012048192769,None / Costa-Hawkins only
58,95014,Cupertino,Santa Clara County,59.43430656934307,0.4088899232022341,0.0595764486851291,0.167757522512629,3448.0,222878.0,0.185644164071824,0.155264655663062,3182391.867584387,1.750901301658181,24.572712045878852,0.1785714285714285,47.36842105263157,None / Costa-Hawkins only
59,94134,San Francisco,San Francisco County,59.36131386861315,0.3597497393117831,0.0526991256918264,0.139591587930509,1578.0,104247.0,0.1816455149788483,0.2245261984392419,1071723.3857592186,1.6563834112383935,1.9302280678232808,0.0816326530612244,19.512195121951216,Strong (pre-1979)
60,94158,San Francisco,San Francisco County,59.24270072992701,0.6216396356365252,0.1033103754721173,0.0416834474426097,2598.0,180208.0,0.1730000887862914,0.1890636168691923,1298030.8435584782,5.400810889066743,4.914905163937133,,,Strong (pre-1979)
61,94530,El Cerrito,Contra Costa County,58.92335766423358,0.4386175115207373,0.0531797235023041,0.219305154458738,2227.0,119761.0,0.2231444293217324,0.2798907333473419,1141717.983271523,-2.412877420149606,-2.2423499317900886,0.0,-41.509433962264154,None / Costa-Hawkins only
62,94014,Daly City,San Mateo County,58.75912408759124,0.4124446981589839,0.0887683744826602,0.2228994625770088,1865.0,111795.0,0.20018784382128,0.2230103806228373,1011110.0153145256,-1.485639450248688,-1.581287687750954,0.1290322580645161,-22.499999999999996,None / Costa-Hawkins only
63,94103,San Francisco,San Francisco County,58.7043795620438,0.7951424287856071,0.2076761619190404,0.4155328235177277,1883.0,111028.0,0.2035162301401448,0.1917188324911381,802666.1182720243,-0.17604662193930753,-7.9271849427109515,0.2222222222222222,9.090909090909083,Strong (pre-1979)
64,94065,Redwood City,San Mateo County,58.61313868613138,0.3597338484653359,0.0450740502253702,0.266173752310536,3501.0,201125.0,0.2088850217526414,0.2130071599045346,1852543.420755322,-1.4642772913549762,3.948742022633489,0.108695652173913,24.32432432432432,None / Costa-Hawkins only
65,94710,Berkeley,Alameda County,58.57664233576642,0.6508201278843481,0.0909090909090909,0.3065749235474006,2235.0,116313.0,0.2305847153800521,0.2076035882101665,1003006.5147126904,-2.6190678312757565,-4.6920925300873435,,-19.999999999999996,Strong (pre-1980)
66,94702,Berkeley,Alameda County,58.503649635036496,0.5135971997845988,0.1020463112547119,0.2968482775470315,1586.0,98873.0,0.1924893550312016,0.2993446920052424,1182679.392841708,-1.113366376971403,-3.617570083584065,,-44.44444444444444,Strong (pre-1980)
67,94598,Walnut Creek,Contra Costa County,57.84671532846715,0.2527051613521018,0.0174279421622139,0.1015529411764705,2774.0,185995.0,0.1789725530256189,0.1360363774156877,1421400.844284336,-1.4045658557899965,4.804249324382859,0.1058823529411764,14.864864864864868,None / Costa-Hawkins only
68,95425,Cloverdale,Sonoma County,57.22627737226277,0.3049306975687343,0.0272665303340149,0.1026321610263216,1191.0,103125.0,0.1385890909090909,0.1773472429210134,641287.3667315661,-2.3284455150299865,0.20990993227707477,0.1891891891891892,-9.756097560975608,None / Costa-Hawkins only
69,94804,Richmond,Contra Costa County,56.93430656934307,0.524493836622597,0.0400459858210385,0.2391918447555883,1498.0,79659.0,0.2256618837796105,0.2815392109108621,577529.9909785683,-5.633285512317143,-7.527950379717662,0.144927536231884,-13.749999999999996,Moderate
70,95620,Dixon,Solano County,56.91605839416058,0.3845540342948292,0.0430679250299082,0.2030075187969924,1413.0,94042.0,0.1803024180685225,0.1399930867611476,609646.5773163362,-1.689513148318278,2.4718517545097463,0.3333333333333333,2.127659574468077,None / Costa-Hawkins only
71,95131,San Jose,Santa Clara County,56.706204379562045,0.3681566536805413,0.0297313922493336,0.1879729191557148,2804.0,164227.0,0.2048871379249453,0.1590086326928432,1375243.817337759,-4.538426310573085,10.757901722793717,0.175438596491228,16.326530612244895,"Moderate (pre-1979, 2+ units)"
72,94520,Concord,Contra Costa County,56.4963503649635,0.645551547941088,0.01487826871055,0.3297793573226714,1870.0,77927.0,0.2879618104123089,0.2813409381911302,609862.0507077345,-4.121309108612681,-0.9784917181297703,0.2063492063492063,-11.267605633802813,None / Costa-Hawkins only
73,95401,Santa Rosa,Sonoma County,56.368613138686136,0.4279345124981727,0.0372021634263996,0.2088647734479599,1710.0,88439.0,0.2320243331561867,0.2582408198121264,655806.308601394,-2.7436411810913497,-1.0386763275787136,0.1666666666666666,-30.000000000000004,None / Costa-Hawkins only
74,94402,San Mateo,San Mateo County,56.240875912408754,0.3694033555048148,0.0613521294549786,0.17089140398466,3130.0,184453.0,0.2036291087702558,0.2442891695780704,2478818.9825211526,3.8422980548358243,16.512020715536615,0.1481481481481481,-1.8181818181818188,None / Costa-Hawkins only
